Location,LandUse,Latitude,Longitude,pHT,pHS,TNT,TNS,ClayT,ClayS,SBDT,SBDS,SOC%T,SOC%S,SOCwT,SOCwS,SOCT,SOCiT,SOCiS,Stock,,
Ajmiriganj,Irrigated Boro-Fallow,24.5015,91.376917,4.8,5.4,0.16,0.07,56,40.33,2.56,2.36,1.23,0.41,12.3,4.07,16.37,94.53,67.29,161.82,,
Balaganj,Jute-T Aman-Fallow/Rabi Crops,24.431333,91.227111,5.18,5.28,0.08,0.06,17.45,20.63,1.88,1.9,0.575,0.38,5.75,3.8,9.55,32.46,50.6,83.06,,
Goaninghat,Rabi Crops-Fallow,25.0229,91.1975,5.25,5.73,0.1,0.08,21,25.67,2.11,2.04,0.885,0.66,8.85,6.6,15.45,56.02,94.2,150.22,,
Hakaluki,Boro-Fallow,24.301139,91.534306,5.6,0,0.42,0.49,16.5,5.5,1.46,1.13,7.01,12.99,70.1,129.9,200,306.23,1028.02,1334.25,,
Kanairghat,Grassland,24.282694,91.244306,4.4,5.73,0.19,0.09,57.5,41.33,1.71,2.05,1.63,0.68,16.3,6.8,23.1,83.62,97.58,181.2,,
Phagu,Boro-Fallow,24.902556,91.00525,4.7,6.7,0.19,0.1,74,48.33,2.91,2.38,1.775,1.32,17.75,13.15,30.9,154.99,219.4,374.4,,
Sarail,Irrigated Boro,24.103722,91.144583,4.15,3.6,0.39,0.49,36.2,26.35,1.96,1.7,4.295,5.6,42.95,56,98.95,252.17,667.93,920.09,,
Sulla,Boro-Fallow,24.592194,91.300389,4.8,4.77,0.17,0.18,58.5,50.67,2.6,2.45,1.445,1.2,14.45,12,26.45,112.52,205.58,318.1,,
Terchibari,Boro-Fallow,24.810611,91.3805,5.05,5.67,0.26,0.1,73.5,47.67,2.82,2.36,3.255,1.37,32.55,13.7,46.25,275.22,226.64,501.87,,
Zakiganj,,,,,,,,,,,,,,,,,,,,,
Kulaura,,,,,,,,,,,,,,,,,,,,,
BRRI Site,,,,,,,,,,,,,,,,,,,,,